Y,a.pinene,camphene,myrcene,?.Phellandrene,g.terpinene,p.cymene,terpinolene,Limonene_oxide_cis,Pinocarvone,Unk_1,bornylacetate,X4.ol.terpinen,trans.Verbenol,verbenone,sesquiterpeni.1,sesquiterpene.2,a.humulene,sesquiterpene.3,B.caryophillene.oxide,unk_.2,?.epi.Cadinol,Selina.6.en.4.ol,?.Cubebene,a.copaene,b.copaene
Abies nebrodensis,"24,9341823413426","0,219161821134982","1,71418263611725","0,4996106008934","0,0480077906181555","0,0390361180508946","0,0908554139111728","0,0855252160233417",0,"2,19229256560169",0,0,"2,55851948807195",0,"0,405761783013185","3,16351165742078","1,70412040428556","0,724223496960555",0,"17,2884975400811",0,"13,5140552702253","0,573084913542017","0,448201164894293","0,753169346064634"
Abies nebrodensis,"11,2731873009708","0,307102296094496","2,89430970627757","0,405499649493531",0,0,0,0,0,"0,471218113011571",0,0,"4,92911219268509",0,0,"0,385488277242491",0,0,0,"36,3437864376793",0,0,0,0,"0,411937432198048"
Abies nebrodensis,"21,7969233060328","0,187105077113216","3,26790462930038","0,641002354556484","0,0195153441398104","0,0166437980940654","0,0938277597253788","0,0630919130730109",0,"0,658434936686099",0,0,"0,527565647143705",0,"0,207022682870682","2,36039231372953","1,17259596727611","0,537655373321387",0,0,"0,545295259882551","6,58718777460398","0,278716027511445","0,272181678535998","0,369459465607469"
Abies nebrodensis,"8,3085047060672",0,"1,22475975196768",0,0,0,0,0,0,"12,7717228685932",0,0,"17,4633524170939",0,0,"1,51144884532489",0,0,0,"12,4151426191849",0,"64,9768299421195",0,0,"1,57784103332651"
Abies nebrodensis,"6,43711447436972",0,"2,8046073959601","1,463389126916",0,0,0,0,0,"0,468116370726047",0,0,"1,16776723843676",0,0,"0,0884873965712475",0,0,0,0,0,0,0,0,"0,140902215461323"
Abies nebrodensis,"11,1654604014057",0,"1,96209577163685","1,11800595554937",0,0,0,"0,285990011145767","1,20562378283831",0,0,0,"5,0338174719951",0,0,0,0,0,0,0,0,0,0,0,"0,194983755042006"
Abies nebrodensis,"13,5531796595169","0,296685935008653","1,89470038949816","1,71935754075744",0,0,0,"0,433731485560826","0,574454240213876",0,0,0,"7,49941724641547",0,0,"0,895003214985365",0,0,0,0,0,"3,46739356923542","0,264542540795733","0,200113185049142","0,22668541785561"
Abies nebrodensis,"7,1678010921213",0,"2,38911004869517","1,56438982206306",0,0,0,"0,426105129442071",0,"0,28660636656209",0,0,"1,96378057418911",0,0,"0,545384513306572",0,0,0,"3,77798138967025",0,"2,25078264391714","0,246840111929274","0,170049109685196","0,270268660789262"
Abies nebrodensis,"26,0802674241586","0,40896568073513","2,58666890618331","3,2704664346248","0,0613295145999756","0,0636272785372847","0,184136421139445","0,125890150929633",0,"2,83880940710999",0,"0,041988154540521","1,20452633859338",0,"0,497329153807809","1,35644596146373","1,00088638572377","0,94855894940492",0,0,"2,6681137176188","7,29647793985202","0,631787039769801","0,538442601035597","0,867034904326357"
Abies nebrodensis,"14,8148959467145","0,378383755792781","4,15812102214381","1,01372735946606","0,0229064907961089","0,031701927583466","0,139379295514758","0,0717696060871757",0,"0,492314384837285",0,"0,0622880791507367","1,17704207140831",0,"0,232951813423852","0,889034008263877","0,537542820737169","0,597683738540496",0,0,"1,4786974982627","5,74416956537206","0,37108116594908","0,429560253254669","0,564260266054274"
Abies nebrodensis,"35,3470530307996","0,483289104122355","2,19636846892527","0,790349370276585","0,0361968318149954","0,0333034070291938","0,109373441651502","0,02861389197105",0,"4,06603929227061",0,"0,0155967450500887","1,5087905856103",0,"0,49938156342954","3,02462053182958","2,00122343661455","1,38208559582764",0,0,"3,0102629148912","7,86810364684616","0,821040767794372","0,714615109642396","1,18881523107881"
Abies nebrodensis,"29,0038384656584","0,326984155721093","2,16474001613802","0,654281668176322","0,0221437106073254","0,0495980439863623","0,0614635751456617","0,151852455354023",0,"2,60440631010135",0,"0,0333653618911439","1,2188059626057",0,"0,342424754048268","2,48891551422761","1,60725485682648","1,56720346238631","0,322814148774607","13,5139486598094","1,04040755009688","4,47923645189566","0,635113424249004","0,772225602564761","0,856755306980303"
Abies nebrodensis,"35,3574067064683","0,438188514145551","1,98076547316661","0,696749164985261","0,0254429915591816","0,0528838333186936","0,0661826364425667","0,0614992115129273",0,"2,73337679566112",0,"0,0273090808296249","1,9721491514406",0,"0,298439014285","2,35959573282893","1,40032482375651","1,1767734415421","0,242332857165291","9,67895790219938","1,78873233878856","7,53686958765921","0,518969001096844","0,492005393539288","0,75429419191917"
