Class,POP,WorkGroup,miX,Idsample,date,a-pinene,fenchene,camphene,b-pinene,b-myrcene,a-phellandrene,a-terpinene,d-limonene,cineolo,b-ocimene,g-terpinene,p-cymene,terpinolene,neryl-propionate,nerol,neryl-isovaleriate,neryl-acetate,linalool,terpinen-4-ol,a-terpineol,a-ylangene,a-copaene,isoitalicene,italicene,cis-a-bergamotene,trans-a-bergamotene,b-caryophillene,guaia-6.9-diene,b-farnesene,g-curcumene,a-muurolene,b-bisabolene,d-cadinene,sesquiterpene8,b-selinene,b-curcumene,selinene,a-curcumene,C15H26O2,guaiol,sesquiterpene 4,rosifoliol,TOT_Mono,TOT_mono&sesqui,Work_prop,Work_prop2,Work_prop3,Isole,WorkGroup_dup
C,I,C_I,,C I 28 25SETT20.D,27/09/2020 23:20:14,"3586473,10670371","547465,233453831","184350,35003398","832286,45257342","51935,5060118919","12415,7615","207211,385000001","4789153,26870959","2839953,46480816",0,"985166,039068115","216001,816999996","17162,3957692843","5290555,59362815","698114,798155407","157304,189142501","12825224,5121164","1940765,53840714","1255037,29728785",0,0,0,"143974,930892283","468204,666800622",0,0,"2601061,43682794",0,"68639,6530000011","3320645,60703176",0,0,0,0,0,"309874,81",0,"2140204,58033684",0,"364906,062620906",0,"4900097,81059936","36436576,7093694","50754186,2674791",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 29 25SETT20.D,28/09/2020 17:03:04,"3300341,72950999","19662,6240000003","76082,7091643486","517389,592883482","72152,0159638254","50702,9064999992","651338,240857263","650330,263787835","1337171,90777405",0,"1274132,77288264","257054,842500002","156197,866415659","7119825,4439616","9525782,21340418","589035,736468286","23314307,518316","261475,039401898","1688402,35949999",0,0,0,"533928,046897074","2056398,43576335","2005984,35949999","1066827,44000001","82507,2192552237",0,"230214,697379105","40357359,9865376",0,"416580,940499999",0,"157032,39515944",0,"961890,648000006",0,"3314183,20153946",0,"2285674,70596948",0,"11002988,807938","50861385,7832911","115332956,66773",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 3 2sett20 .D,03/09/2020 00:35:11,"903629,993483447","10582,6056345944","64418,3956249591","443235,100502222","44912,3932464869","21010,4901183786","196035,287667899","393117,998677369","2652598,12585781",0,"897867,098345375","211276,112000003",0,"7151233,79684032","10157179,9425222","5277162,89258773","2074709,8332839","1223284,58253625",0,0,0,0,"448876,05763877","1773297,91973447","2187729,65285509","961387,350421237","579604,8175",0,"152663,746","13220114,1065865",0,"353100,554500001",0,0,0,"835717,666999997",0,"4616615,97795636",0,"3068038,39427999",0,"11840743,0629812","31722254,6489289","71760143,9563826",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 30 2sett20 .D,04/09/2020 01:34:40,"783796,904878676","144269,042703937","60298,3041436048","336480,541500003","93497,1930000009","17756,1580000001","407532,745938061","1353384,09200649","9118020,155538",0,"928206,521886726","207054,284000001",0,"1630185,53651389","2467913,75480888","284849,436211124","6681412,48727167","4875429,6235367","1228504,144331",0,0,0,"254130,793907353","996665,480735723","1424306,36640301","437723,156000002",0,0,"126736,888919403","8791844,52668677",0,"190872,0575",0,0,0,"358100,404509149",0,"3874135,24359597",0,0,0,0,"30618590,9262688","47073105,8445261",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 4 2sett20 .D,03/09/2020 01:30:37,"217302,042736475","65602,8288256972","40835,521792196","102056,749247861","19631,1985000003","6388,50600000003","149848,541288853","482141,7995254","2226439,83766861",0,"197618,111017907","38682,9269388056",0,"1298897,45659035","4766027,67399079","467272,71811468","12169343,3022328","971831,718665933",0,0,0,0,"216363,814880216","915304,504403034","1323647,64523901","859622,182694921",0,0,"72914,4127738802","7850323,58201114",0,"296256,98127761",0,"54009,4849999998","1403552,62172245",0,0,"754943,604908666",0,0,0,0,"23219920,9331364","36966859,7680473",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 5 2sett20 .D,03/09/2020 02:25:56,"251018,403638665",0,0,"121734,998499999","25569,5327543241","11613,8276690406","159215,405","92924,5179552242","4098760,92968131",0,"369946,554072444","92659,8873850772",0,"832742,339085383","672791,469034702","179035,638638377","4797421,43145096","2023537,5594437",0,0,0,"2838081,75550059","213235,870335959","855140,243360284","988662,74231147","706149,749687048","2138475,74144091",0,"47032,1224328354","9359642,7734802",0,"233587,898",0,"373719,344705264",0,"272585,439790503",0,"850896,405509279",0,"1868100,00663414",0,"10792384,4775539","13728972,4943092","45266667,0650516",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 6 2sett20 .D,03/09/2020 03:21:23,"279369,609208439",0,0,"172833,410089537","23084,1304094596","12145,3209324325","152225,207701493","133102,408999998","4816512,97410201",0,"484524,878260825","107799,938604568",0,"1863932,64655535","1779098,90943514","704479,897712404","3701546,49330823","836138,663239822","1124060,33271077",0,0,0,"83656,7625000001","360615,461979479","3115546,97738053","2081122,39572432","990904,730042266",0,"49623,2872776119","5179479,58676135",0,"394563,585035414",0,"59018,0509999997",0,"418563,387747537",0,"1745847,4592418",0,"889390,015866059",0,"2251824,07783545","16190854,8212705","33811010,5996623",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 7 2sett20 .D,03/09/2020 04:16:47,"334674,322771274","123968,113909331","58389,9911147191","91754,4874884483","14698,2764999998",0,0,"1388924,66758133",0,0,"28665,6030589547","12493,4279434269",0,"2457287,9209043","1266358,180967","373068,575657151","16075347,7169202","2526415,96970902",0,0,"368848,050631372",0,"174042,166097321","721889,78485311","632128,903530221","415028,122472996","859091,599290516","275271,390760045","16582,6656447755","6350234,95021998",0,"641443,173500002",0,"39586,4254999998",0,"234613,8205",0,"781537,180948656",0,"740311,171946948",0,"3738863,87322394","24752047,2545252","40741520,533645",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 8 2sett20 .D,03/09/2020 05:12:32,"454324,078971984","341484,205675467","76617,0064421901","156720,238672981","24454,9910000003",0,0,"2734952,87603431","26153,8185000002",0,"39035,6197507454","47584,6106485754",0,"10560061,9077233","1883953,1377122","751956,133840994","26849477,1129757","167825,111610286",0,0,0,0,"238509,888391767","1005598,44326319","684331,044841916","704448,316017465","3606787,76667667",0,"83070,3820037311","9576092,38043818",0,"123738,761999996",0,0,0,"549879,640500002",0,"10313663,5034986",0,"3131439,26809416",0,"14382749,2246804","44114600,8495587","88514909,4699648",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 9 25SETT20.D,28/09/2020 07:42:44,"894443,537311329","389157,152277911","121275,758308999","290471,517972778","29034,2299383779","28615,7069999996",0,"3860166,39400042",0,0,"40048,6264552239","3517,75797761212",0,"1446124,34900002","962645,737940923","91041,7699789735","13784144,8691847","922972,901851973",0,0,0,0,"74006,0596701242","294606,379926227","3524898,99871395","2723460,73758647","2580278,09101249",0,"164695,961","1909529,95181397",0,"398165,942999998",0,0,0,"414721,8985",0,"1045716,81837929",0,"224904,265186918",0,"2045495,69804673","22863660,3091992","38264141,1120354",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
